di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
0.450588 	0.056242 	0.009778 	0.036087 	0.001858 	0.450247 	 0.000353 
0.448910 	0.057219 	0.009665 	0.036526 	0.001925 	0.448551 	 0.000378 
0.447948 	0.056715 	0.009673 	0.036255 	0.001889 	0.447600 	 0.000365 
0.439672 	0.056642 	0.009887 	0.035958 	0.001913 	0.439315 	 0.000376 
0.459683 	0.057712 	0.010007 	0.037082 	0.001939 	0.459308 	 0.000388 
0.444182 	0.057349 	0.010238 	0.036550 	0.001948 	0.443809 	 0.000389 
0.452667 	0.057164 	0.009621 	0.036647 	0.001913 	0.452304 	 0.000381 
0.457004 	0.056828 	0.009751 	0.036542 	0.001877 	0.456650 	 0.000367 
0.450862 	0.057577 	0.010234 	0.036813 	0.001946 	0.450503 	 0.000371 
0.444252 	0.058908 	0.010348 	0.037225 	0.002008 	0.443874 	 0.000398 
0.449021 	0.058418 	0.010195 	0.037132 	0.001988 	0.448653 	 0.000386 
0.440893 	0.058077 	0.010654 	0.036818 	0.002002 	0.440515 	 0.000394 
0.454829 	0.057864 	0.009732 	0.036959 	0.001956 	0.454447 	 0.000403 
0.464239 	0.058494 	0.009580 	0.037638 	0.001960 	0.463861 	 0.000398 
0.446521 	0.058374 	0.010132 	0.037019 	0.001987 	0.446143 	 0.000398 
0.454060 	0.059249 	0.010288 	0.037733 	0.002028 	0.453674 	 0.000406 
0.441978 	0.057765 	0.010311 	0.036625 	0.001976 	0.441597 	 0.000399 
0.451241 	0.059768 	0.010813 	0.037986 	0.002077 	0.450837 	 0.000422 
0.445184 	0.056962 	0.009786 	0.036270 	0.001924 	0.444818 	 0.000386 
0.437949 	0.057684 	0.010381 	0.036497 	0.001973 	0.437588 	 0.000378 
0.451249 	0.059038 	0.010460 	0.037653 	0.002020 	0.450868 	 0.000398 
0.439879 	0.057165 	0.010026 	0.036203 	0.001931 	0.439520 	 0.000379 
0.435860 	0.057119 	0.010263 	0.036179 	0.001948 	0.435504 	 0.000373 
0.439536 	0.058778 	0.010835 	0.037210 	0.002027 	0.439166 	 0.000385 
0.450220 	0.060008 	0.010753 	0.038171 	0.002069 	0.449843 	 0.000394 
0.431406 	0.057718 	0.010532 	0.036267 	0.001992 	0.431036 	 0.000389 
0.455928 	0.059716 	0.010429 	0.037975 	0.002057 	0.455533 	 0.000416 
0.449771 	0.060232 	0.010939 	0.038241 	0.002098 	0.449377 	 0.000410 
0.448301 	0.058536 	0.010240 	0.037207 	0.001993 	0.447934 	 0.000386 
0.448383 	0.058610 	0.010285 	0.037249 	0.002006 	0.448012 	 0.000390 
0.450954 	0.060068 	0.010863 	0.038171 	0.002088 	0.450560 	 0.000411 
0.452766 	0.058854 	0.010216 	0.037490 	0.002011 	0.452386 	 0.000400 
0.441484 	0.057005 	0.009909 	0.036198 	0.001926 	0.441120 	 0.000382 
0.447301 	0.058933 	0.010565 	0.037505 	0.002017 	0.446929 	 0.000388 
0.454947 	0.059973 	0.010492 	0.038111 	0.002071 	0.454557 	 0.000410 
0.459567 	0.058816 	0.010365 	0.037624 	0.001976 	0.459193 	 0.000388 
0.440161 	0.059524 	0.010733 	0.037412 	0.002070 	0.439771 	 0.000412 
0.451527 	0.059950 	0.010799 	0.038116 	0.002081 	0.451131 	 0.000413 
0.453585 	0.059326 	0.010762 	0.037776 	0.002046 	0.453200 	 0.000397 
0.438756 	0.059890 	0.011005 	0.037622 	0.002077 	0.438390 	 0.000383 
0.446516 	0.059246 	0.010581 	0.037505 	0.002045 	0.446137 	 0.000398 
0.446768 	0.060340 	0.010982 	0.038065 	0.002117 	0.446362 	 0.000425 
0.452606 	0.059218 	0.010324 	0.037694 	0.002036 	0.452214 	 0.000412 
0.459452 	0.061612 	0.010995 	0.039214 	0.002145 	0.459048 	 0.000422 
0.451089 	0.058283 	0.010552 	0.037145 	0.001991 	0.450710 	 0.000391 
0.454128 	0.059175 	0.010708 	0.037684 	0.002023 	0.453750 	 0.000390 
0.461457 	0.058623 	0.010226 	0.037606 	0.001986 	0.461082 	 0.000388 
0.457494 	0.059779 	0.010871 	0.038064 	0.002068 	0.457086 	 0.000419 
0.424512 	0.058745 	0.011527 	0.036754 	0.002072 	0.424133 	 0.000394 
0.410928 	0.057482 	0.011237 	0.035525 	0.002011 	0.410574 	 0.000371 
0.439966 	0.058146 	0.010916 	0.036796 	0.001998 	0.439598 	 0.000378 
0.413557 	0.057932 	0.011378 	0.035793 	0.002057 	0.413179 	 0.000397 
0.440002 	0.060487 	0.011478 	0.038065 	0.002128 	0.439600 	 0.000418 
0.417026 	0.059759 	0.012151 	0.037077 	0.002135 	0.416642 	 0.000397 
0.424461 	0.058481 	0.011070 	0.036418 	0.002049 	0.424081 	 0.000400 
0.420881 	0.059595 	0.011759 	0.036984 	0.002130 	0.420492 	 0.000405 
0.427220 	0.059854 	0.012053 	0.037309 	0.002121 	0.426829 	 0.000399 
0.420634 	0.059972 	0.011892 	0.037158 	0.002151 	0.420248 	 0.000403 
0.409889 	0.058188 	0.011504 	0.035876 	0.002072 	0.409522 	 0.000385 
0.424210 	0.058824 	0.011225 	0.036531 	0.002078 	0.423825 	 0.000405 
0.429611 	0.059228 	0.011771 	0.037053 	0.002093 	0.429222 	 0.000397 
0.416900 	0.059575 	0.011662 	0.036726 	0.002122 	0.416520 	 0.000399 
0.431841 	0.058108 	0.011346 	0.036502 	0.002022 	0.431460 	 0.000390 
0.418141 	0.058305 	0.011252 	0.036143 	0.002055 	0.417767 	 0.000393 
0.418124 	0.059586 	0.011649 	0.036798 	0.002133 	0.417733 	 0.000411 
0.425746 	0.059612 	0.011604 	0.037091 	0.002118 	0.425358 	 0.000406 
0.424272 	0.059305 	0.011916 	0.036974 	0.002087 	0.423898 	 0.000383 
0.432483 	0.058841 	0.011526 	0.036921 	0.002061 	0.432098 	 0.000394 
0.428407 	0.058728 	0.011018 	0.036655 	0.002061 	0.428018 	 0.000410 
0.417562 	0.059656 	0.011945 	0.036906 	0.002144 	0.417169 	 0.000410 
0.441102 	0.060893 	0.011478 	0.038382 	0.002147 	0.440711 	 0.000407 
0.430974 	0.061560 	0.012164 	0.038441 	0.002211 	0.430567 	 0.000421 
0.428515 	0.057866 	0.011243 	0.036352 	0.002004 	0.428159 	 0.000365 
0.434197 	0.059304 	0.011595 	0.037223 	0.002085 	0.433812 	 0.000395 
0.427011 	0.059576 	0.011931 	0.037195 	0.002111 	0.426631 	 0.000390 
0.433266 	0.060914 	0.011819 	0.038185 	0.002167 	0.432873 	 0.000408 
0.431605 	0.061050 	0.011969 	0.038167 	0.002176 	0.431206 	 0.000414 
0.419515 	0.060292 	0.012280 	0.037399 	0.002170 	0.419119 	 0.000410 
0.418585 	0.060639 	0.012197 	0.037440 	0.002191 	0.418187 	 0.000416 
0.436863 	0.059416 	0.011592 	0.037330 	0.002092 	0.436466 	 0.000407 
0.436322 	0.061587 	0.012001 	0.038553 	0.002200 	0.435910 	 0.000427 
0.431643 	0.059911 	0.011929 	0.037470 	0.002127 	0.431247 	 0.000404 
0.415466 	0.059605 	0.012001 	0.036820 	0.002143 	0.415075 	 0.000407 
0.413341 	0.059777 	0.011836 	0.036769 	0.002140 	0.412957 	 0.000403 
0.429242 	0.059817 	0.011932 	0.037376 	0.002119 	0.428855 	 0.000397 
0.415136 	0.058947 	0.011520 	0.036395 	0.002088 	0.414763 	 0.000392 
0.418533 	0.059382 	0.011549 	0.036710 	0.002119 	0.418148 	 0.000405 
0.433906 	0.060074 	0.011879 	0.037587 	0.002127 	0.433508 	 0.000407 
0.415715 	0.060242 	0.011960 	0.037024 	0.002177 	0.415319 	 0.000416 
0.439942 	0.058698 	0.011205 	0.037022 	0.002034 	0.439555 	 0.000397 
0.428423 	0.060639 	0.011760 	0.037715 	0.002162 	0.428027 	 0.000413 
0.409461 	0.059659 	0.011981 	0.036579 	0.002152 	0.409076 	 0.000404 
0.419113 	0.061071 	0.012330 	0.037665 	0.002212 	0.418713 	 0.000417 
0.428976 	0.060694 	0.012226 	0.037833 	0.002158 	0.428586 	 0.000398 
0.433412 	0.059579 	0.011732 	0.037332 	0.002097 	0.433019 	 0.000402 
0.415734 	0.060490 	0.012069 	0.037137 	0.002195 	0.415329 	 0.000426 
0.436432 	0.060416 	0.011999 	0.037805 	0.002144 	0.436017 	 0.000424 
0.428216 	0.062555 	0.012671 	0.038840 	0.002276 	0.427798 	 0.000432 
0.418221 	0.062554 	0.013024 	0.038617 	0.002294 	0.417815 	 0.000420 
